region,Time,sex,edu,agest,prjpropfinal
24,2020,f,e1,15,0.728402896659699
25,2020,f,e1,15,0.7428298225393719
26,2020,f,e1,15,1.0333694665989328
27,2020,f,e1,15,1.2072464337839657
28,2020,f,e1,15,0.8668638245975528
29,2020,f,e1,15,1.0411506606622576
31,2020,f,e1,15,0.6476711532758787
32,2020,f,e1,15,0.5856326172493566
33,2020,f,e1,15,0.73854266447167
35,2020,f,e1,15,0.7719619165133946
41,2020,f,e1,15,0.6049751189977259
42,2020,f,e1,15,0.5045600075976099
43,2020,f,e1,15,0.5892916740900381
50,2020,f,e1,15,0.7097460412355514
51,2020,f,e1,15,1.049296211040024
52,2020,f,e1,15,0.7296262207334855
53,2020,f,e1,15,0.5922847467470826
11,2025,f,e1,15,0.5617338854396636
12,2025,f,e1,15,1.2506050270254163
13,2025,f,e1,15,1.379974108592909
14,2025,f,e1,15,1.4099499988422384
15,2025,f,e1,15,0.8358169479907742
16,2025,f,e1,15,0.5848890636498575
17,2025,f,e1,15,0.4779939272861769
21,2025,f,e1,15,0.727801912381165
22,2025,f,e1,15,0.4619308748180536
23,2025,f,e1,15,0.4306782170093412
24,2025,f,e1,15,0.4003995977457197
25,2025,f,e1,15,0.41316761828461895
26,2025,f,e1,15,0.5713588133626906
27,2025,f,e1,15,0.6894478584274488
28,2025,f,e1,15,0.4891339266197028
29,2025,f,e1,15,0.5811858798322069
31,2025,f,e1,15,0.3440180045058955
32,2025,f,e1,15,0.3113369224909951
33,2025,f,e1,15,0.39816694796576246
35,2025,f,e1,15,0.4028094851240771
41,2025,f,e1,15,0.3183279052295915
42,2025,f,e1,15,0.262684523094658
43,2025,f,e1,15,0.3132207105837223
50,2025,f,e1,15,0.38513240574973784
51,2025,f,e1,15,0.5567015185678038
52,2025,f,e1,15,0.3854048915765196
53,2025,f,e1,15,0.3103446956042751
11,2030,f,e1,15,0.4062377843802975
12,2030,f,e1,15,0.9140154674816068
13,2030,f,e1,15,1.0193742372478627
14,2030,f,e1,15,1.0176688847106292
15,2030,f,e1,15,0.6193516669385658
16,2030,f,e1,15,0.4245344868042372
17,2030,f,e1,15,0.3425725490148737
21,2030,f,e1,15,0.5297597405413117
22,2030,f,e1,15,0.33657555217256696
23,2030,f,e1,15,0.30953186731850735
24,2030,f,e1,15,0.2899169263984614
25,2030,f,e1,15,0.3007219888869267
26,2030,f,e1,15,0.4161456927475205
27,2030,f,e1,15,0.5082071149808373
28,2030,f,e1,15,0.3585178669657128
29,2030,f,e1,15,0.42483405818418146
31,2030,f,e1,15,0.24619920629267528
32,2030,f,e1,15,0.22265358273572608
33,2030,f,e1,15,0.2868654088132777
35,2030,f,e1,15,0.2865233645444375
41,2030,f,e1,15,0.2265948439267019
42,2030,f,e1,15,0.18623802648393176
43,2030,f,e1,15,0.223908996923987
50,2030,f,e1,15,0.2772636260861702
51,2030,f,e1,15,0.398520116068506
