scenario,age,sex,education,area,state,region,year,prjpropfinal
1,15,Male,e1,23,Ceará,Northeast,2015,1.9770871245493704
1,15,Male,e1,23,Ceará,Northeast,2020,1.0208383880946845
1,15,Male,e1,23,Ceará,Northeast,2025,0.1602831654300171
1,15,Male,e1,23,Ceará,Northeast,2030,0
1,15,Male,e1,23,Ceará,Northeast,2035,0
1,15,Male,e1,23,Ceará,Northeast,2040,0
1,15,Male,e1,23,Ceará,Northeast,2045,0
1,15,Male,e1,23,Ceará,Northeast,2050,0
1,15,Male,e1,23,Ceará,Northeast,2055,0
1,15,Male,e1,23,Ceará,Northeast,2060,0
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2010,1.9611975103039025
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2015,1.5974579693280515
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2020,0.8692032153592111
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2025,0.14261789303998892
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2030,0
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2035,0
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2040,0
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2045,0
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2050,0
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2055,0
1,15,Male,e1,24,Rio Grande do Norte,Northeast,2060,0
1,15,Male,e1,25,Paraíba,Northeast,2010,2.3026787125960175
1,15,Male,e1,25,Paraíba,Northeast,2015,1.9147181409214677
1,15,Male,e1,25,Paraíba,Northeast,2020,1.0910352293158003
1,15,Male,e1,25,Paraíba,Northeast,2025,0.18674508619945365
1,15,Male,e1,25,Paraíba,Northeast,2030,0
1,15,Male,e1,25,Paraíba,Northeast,2035,0
1,15,Male,e1,25,Paraíba,Northeast,2040,0
1,15,Male,e1,25,Paraíba,Northeast,2045,0
1,15,Male,e1,25,Paraíba,Northeast,2050,0
1,15,Male,e1,25,Paraíba,Northeast,2055,0
1,15,Male,e1,25,Paraíba,Northeast,2060,0
1,15,Male,e1,26,Pernambuco,Northeast,2010,2.9728400084909685
1,15,Male,e1,26,Pernambuco,Northeast,2015,2.453821760175716
1,15,Male,e1,26,Pernambuco,Northeast,2020,1.3834386395529148
1,15,Male,e1,26,Pernambuco,Northeast,2025,0.23406920738933354
1,15,Male,e1,26,Pernambuco,Northeast,2030,0
1,15,Male,e1,26,Pernambuco,Northeast,2035,0
1,15,Male,e1,26,Pernambuco,Northeast,2040,0
1,15,Male,e1,26,Pernambuco,Northeast,2045,0
1,15,Male,e1,26,Pernambuco,Northeast,2050,0
1,15,Male,e1,26,Pernambuco,Northeast,2055,0
1,15,Male,e1,26,Pernambuco,Northeast,2060,0
1,15,Male,e1,27,Alagoas,Northeast,2010,3.348666332016812
1,15,Male,e1,27,Alagoas,Northeast,2015,2.8515228514687445
1,15,Male,e1,27,Alagoas,Northeast,2020,1.7264431941425205
1,15,Male,e1,27,Alagoas,Northeast,2025,0.31403637901167775
1,15,Male,e1,27,Alagoas,Northeast,2030,0
1,15,Male,e1,27,Alagoas,Northeast,2035,0
1,15,Male,e1,27,Alagoas,Northeast,2040,0
1,15,Male,e1,27,Alagoas,Northeast,2045,0
1,15,Male,e1,27,Alagoas,Northeast,2050,0
1,15,Male,e1,27,Alagoas,Northeast,2055,0
1,15,Male,e1,27,Alagoas,Northeast,2060,0
1,15,Male,e1,28,Sergipe,Northeast,2010,2.513560550684871
1,15,Male,e1,28,Sergipe,Northeast,2015,2.1145848979147166
1,15,Male,e1,28,Sergipe,Northeast,2020,1.2451326389440165
1,15,Male,e1,28,Sergipe,Northeast,2025,0.2197855083418029
1,15,Male,e1,28,Sergipe,Northeast,2030,0
1,15,Male,e1,28,Sergipe,Northeast,2035,0
1,15,Male,e1,28,Sergipe,Northeast,2040,0
1,15,Male,e1,28,Sergipe,Northeast,2045,0
1,15,Male,e1,28,Sergipe,Northeast,2050,0
1,15,Male,e1,28,Sergipe,Northeast,2055,0
1,15,Male,e1,28,Sergipe,Northeast,2060,0
1,15,Male,e1,29,Bahia,Northeast,2010,2.904198737644766
1,15,Male,e1,29,Bahia,Northeast,2015,2.4373990143928093
1,15,Male,e1,29,Bahia,Northeast,2020,1.4272804382048887
1,15,Male,e1,29,Bahia,Northeast,2025,0.25053467421011577
1,15,Male,e1,29,Bahia,Northeast,2030,0
1,15,Male,e1,29,Bahia,Northeast,2035,0
1,15,Male,e1,29,Bahia,Northeast,2040,0
1,15,Male,e1,29,Bahia,Northeast,2045,0
1,15,Male,e1,29,Bahia,Northeast,2050,0
1,15,Male,e1,29,Bahia,Northeast,2055,0
1,15,Male,e1,29,Bahia,Northeast,2060,0
1,15,Male,e1,31,Minas Gerais,Southeast,2010,1.8986568974533025
1,15,Male,e1,31,Minas Gerais,Southeast,2015,1.4845138493359427
1,15,Male,e1,31,Minas Gerais,Southeast,2020,0.7442694648560745
1,15,Male,e1,31,Minas Gerais,Southeast,2025,0.11422815006734106
1,15,Male,e1,31,Minas Gerais,Southeast,2030,0
1,15,Male,e1,31,Minas Gerais,Southeast,2035,0
1,15,Male,e1,31,Minas Gerais,Southeast,2040,0
1,15,Male,e1,31,Minas Gerais,Southeast,2045,0
1,15,Male,e1,31,Minas Gerais,Southeast,2050,0
1,15,Male,e1,31,Minas Gerais,Southeast,2055,0
1,15,Male,e1,31,Minas Gerais,Southeast,2060,0
1,15,Male,e1,32,Espírito Santo,Southeast,2010,1.5896119083131242
1,15,Male,e1,32,Espírito Santo,Southeast,2015,1.2347060310843574
1,15,Male,e1,32,Espírito Santo,Southeast,2020,0.6094626138322664
1,15,Male,e1,32,Espírito Santo,Southeast,2025,0.09253401075653482
1,15,Male,e1,32,Espírito Santo,Southeast,2030,0
1,15,Male,e1,32,Espírito Santo,Southeast,2035,0
1,15,Male,e1,32,Espírito Santo,Southeast,2040,0
1,15,Male,e1,32,Espírito Santo,Southeast,2045,0
1,15,Male,e1,32,Espírito Santo,Southeast,2050,0
1,15,Male,e1,32,Espírito Santo,Southeast,2055,0
1,15,Male,e1,32,Espírito Santo,Southeast,2060,0
1,15,Male,e1,33,Rio de Janeiro,Southeast,2010,1.9958953290829158
1,15,Male,e1,33,Rio de Janeiro,Southeast,2015,1.5622293920437524
1,15,Male,e1,33,Rio de Janeiro,Southeast,2020,0.7862345737240851
1,15,Male,e1,33,Rio de Janeiro,Southeast,2025,0.12097056754195554
1,15,Male,e1,33,Rio de Janeiro,Southeast,2030,0
1,15,Male,e1,33,Rio de Janeiro,Southeast,2035,0
1,15,Male,e1,33,Rio de Janeiro,Southeast,2040,0
1,15,Male,e1,33,Rio de Janeiro,Southeast,2045,0
1,15,Male,e1,33,Rio de Janeiro,Southeast,2050,0
1,15,Male,e1,33,Rio de Janeiro,Southeast,2055,0
1,15,Male,e1,33,Rio de Janeiro,Southeast,2060,0
1,15,Male,e1,35,São Paulo,Southeast,2010,1.9974518469168228
1,15,Male,e1,35,São Paulo,Southeast,2015,1.4874884892178004
1,15,Male,e1,35,São Paulo,Southeast,2020,0.6838053112120271
1,15,Male,e1,35,São Paulo,Southeast,2025,0.09878550359544183
1,15,Male,e1,35,São Paulo,Southeast,2030,0
1,15,Male,e1,35,São Paulo,Southeast,2035,0
1,15,Male,e1,35,São Paulo,Southeast,2040,0
1,15,Male,e1,35,São Paulo,Southeast,2045,0
1,15,Male,e1,35,São Paulo,Southeast,2050,0
1,15,Male,e1,35,São Paulo,Southeast,2055,0
1,15,Male,e1,35,São Paulo,Southeast,2060,0
1,15,Male,e1,41,Paraná,South,2010,1.69852851445021
1,15,Male,e1,41,Paraná,South,2015,1.3033802655761935
1,15,Male,e1,41,Paraná,South,2020,0.6264474641802483
1,15,Male,e1,41,Paraná,South,2025,0.09342461109047026
1,15,Male,e1,41,Paraná,South,2030,0
1,15,Male,e1,41,Paraná,South,2035,0
1,15,Male,e1,41,Paraná,South,2040,0
1,15,Male,e1,41,Paraná,South,2045,0
1,15,Male,e1,41,Paraná,South,2050,0
1,15,Male,e1,41,Paraná,South,2055,0
1,15,Male,e1,41,Paraná,South,2060,0
1,15,Male,e1,42,Santa Catarina,South,2010,1.4501901964654542
1,15,Male,e1,42,Santa Catarina,South,2015,1.0900403025823033
1,15,Male,e1,42,Santa Catarina,South,2020,0.5058024953479163
1,15,Male,e1,42,Santa Catarina,South,2025,0.07362462547694408
1,15,Male,e1,42,Santa Catarina,South,2030,0
1,15,Male,e1,42,Santa Catarina,South,2035,0
1,15,Male,e1,42,Santa Catarina,South,2040,0
1,15,Male,e1,42,Santa Catarina,South,2045,0
1,15,Male,e1,42,Santa Catarina,South,2050,0
1,15,Male,e1,42,Santa Catarina,South,2055,0
1,15,Male,e1,42,Santa Catarina,South,2060,0
1,15,Male,e1,43,Rio Grande do Sul,South,2010,1.608652471514044
1,15,Male,e1,43,Rio Grande do Sul,South,2015,1.2469529494226206
1,15,Male,e1,43,Rio Grande do Sul,South,2020,0.6128712496943906
1,15,Male,e1,43,Rio Grande do Sul,South,2025,0.09276997940630816
1,15,Male,e1,43,Rio Grande do Sul,South,2030,0
1,15,Male,e1,43,Rio Grande do Sul,South,2035,0
1,15,Male,e1,43,Rio Grande do Sul,South,2040,0
1,15,Male,e1,43,Rio Grande do Sul,South,2045,0
1,15,Male,e1,43,Rio Grande do Sul,South,2050,0
1,15,Male,e1,43,Rio Grande do Sul,South,2055,0
1,15,Male,e1,43,Rio Grande do Sul,South,2060,0
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2010,1.582347374514063
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2015,1.2542997047334947
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2020,0.6411292619402077
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2025,0.10004903047349716
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2030,0
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2035,0
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2040,0
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2045,0
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2050,0
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2055,0
1,15,Male,e1,50,Mato Grosso do Sul,Center-West,2060,0
1,15,Male,e1,51,Mato Grosso,Center-West,2010,2.4895913374411065
1,15,Male,e1,51,Mato Grosso,Center-West,2015,1.9310247380546075
1,15,Male,e1,51,Mato Grosso,Center-West,2020,0.9539092628600304
1,15,Male,e1,51,Mato Grosso,Center-West,2025,0.1448323788072169
1,15,Male,e1,51,Mato Grosso,Center-West,2030,0
1,15,Male,e1,51,Mato Grosso,Center-West,2035,0
1,15,Male,e1,51,Mato Grosso,Center-West,2040,0
1,15,Male,e1,51,Mato Grosso,Center-West,2045,0
1,15,Male,e1,51,Mato Grosso,Center-West,2050,0
1,15,Male,e1,51,Mato Grosso,Center-West,2055,0
1,15,Male,e1,51,Mato Grosso,Center-West,2060,0
1,15,Male,e1,52,Goiás,Center-West,2010,1.738984568328721
1,15,Male,e1,52,Goiás,Center-West,2015,1.3480110337843654
1,15,Male,e1,52,Goiás,Center-West,2020,0.6637833701814794
1,15,Male,e1,52,Goiás,Center-West,2025,0.10057147272223532
1,15,Male,e1,52,Goiás,Center-West,2030,0
1,15,Male,e1,52,Goiás,Center-West,2035,0
1,15,Male,e1,52,Goiás,Center-West,2040,0
1,15,Male,e1,52,Goiás,Center-West,2045,0
1,15,Male,e1,52,Goiás,Center-West,2050,0
1,15,Male,e1,52,Goiás,Center-West,2055,0
1,15,Male,e1,52,Goiás,Center-West,2060,0
1,15,Male,e1,53,Distrito Federal,Center-West,2010,1.802948644260313
1,15,Male,e1,53,Distrito Federal,Center-West,2015,1.3547122601757082
1,15,Male,e1,53,Distrito Federal,Center-West,2020,0.629229515772471
1,15,Male,e1,53,Distrito Federal,Center-West,2025,0.09162442572188266
1,15,Male,e1,53,Distrito Federal,Center-West,2030,0
1,15,Male,e1,53,Distrito Federal,Center-West,2035,0
1,15,Male,e1,53,Distrito Federal,Center-West,2040,0
1,15,Male,e1,53,Distrito Federal,Center-West,2045,0
1,15,Male,e1,53,Distrito Federal,Center-West,2050,0
1,15,Male,e1,53,Distrito Federal,Center-West,2055,0
1,15,Male,e1,53,Distrito Federal,Center-West,2060,0
1,15,Male,e2,11,Rondônia,North,2010,9.710100044865895
1,15,Male,e2,11,Rondônia,North,2015,8.361752925315482
1,15,Male,e2,11,Rondônia,North,2020,3.8483579441893494
1,15,Male,e2,11,Rondônia,North,2025,0.5036567117206464
1,15,Male,e2,11,Rondônia,North,2030,0.2529884032648033
1,15,Male,e2,11,Rondônia,North,2035,0
1,15,Male,e2,11,Rondônia,North,2040,0
1,15,Male,e2,11,Rondônia,North,2045,0
1,15,Male,e2,11,Rondônia,North,2050,0
1,15,Male,e2,11,Rondônia,North,2055,0
1,15,Male,e2,11,Rondônia,North,2060,0
1,15,Male,e2,12,Acre,North,2010,18.0685934276279
1,15,Male,e2,12,Acre,North,2015,15.472382461892922
1,15,Male,e2,12,Acre,North,2020,7.2273116374921145
1,15,Male,e2,12,Acre,North,2025,0.9524105566986556
1,15,Male,e2,12,Acre,North,2030,0.47972457146409275
1,15,Male,e2,12,Acre,North,2035,0
1,15,Male,e2,12,Acre,North,2040,0
1,15,Male,e2,12,Acre,North,2045,0
1,15,Male,e2,12,Acre,North,2050,0
1,15,Male,e2,12,Acre,North,2055,0
1,15,Male,e2,12,Acre,North,2060,0
1,15,Male,e2,13,Amazonas,North,2010,15.353693769098754
1,15,Male,e2,13,Amazonas,North,2015,13.549979596048594
1,15,Male,e2,13,Amazonas,North,2020,6.663384109859657
1,15,Male,e2,13,Amazonas,North,2025,0.9229877677721435
1,15,Male,e2,13,Amazonas,North,2030,0.4666504087379034
1,15,Male,e2,13,Amazonas,North,2035,0
1,15,Male,e2,13,Amazonas,North,2040,0
1,15,Male,e2,13,Amazonas,North,2045,0
1,15,Male,e2,13,Amazonas,North,2050,0
1,15,Male,e2,13,Amazonas,North,2055,0
1,15,Male,e2,13,Amazonas,North,2060,0
1,15,Male,e2,14,Roraima,North,2010,10.674487668876266
1,15,Male,e2,14,Roraima,North,2015,9.018237548426239
1,15,Male,e2,14,Roraima,North,2020,4.014932773667152
1,15,Male,e2,14,Roraima,North,2025,0.5112171316291588
1,15,Male,e2,14,Roraima,North,2030,0.25643745831152087
1,15,Male,e2,14,Roraima,North,2035,0
1,15,Male,e2,14,Roraima,North,2040,0
1,15,Male,e2,14,Roraima,North,2045,0
1,15,Male,e2,14,Roraima,North,2050,0
1,15,Male,e2,14,Roraima,North,2055,0
1,15,Male,e2,14,Roraima,North,2060,0
1,15,Male,e2,15,Pará,North,2010,19.19151752319706
1,15,Male,e2,15,Pará,North,2015,17.19393942812873
1,15,Male,e2,15,Pará,North,2020,8.842816951736069
1,15,Male,e2,15,Pará,North,2025,1.2757155060386831
1,15,Male,e2,15,Pará,North,2030,0.6471375727927132
1,15,Male,e2,15,Pará,North,2035,0
1,15,Male,e2,15,Pará,North,2040,0
1,15,Male,e2,15,Pará,North,2045,0
1,15,Male,e2,15,Pará,North,2050,0
1,15,Male,e2,15,Pará,North,2055,0
1,15,Male,e2,15,Pará,North,2060,0
1,15,Male,e2,16,Amapá,North,2010,12.821524749141261
1,15,Male,e2,16,Amapá,North,2015,10.791817086883881
1,15,Male,e2,16,Amapá,North,2020,4.788461932768689
1,15,Male,e2,16,Amapá,North,2025,0.6068271836078207
1,15,Male,e2,16,Amapá,North,2030,0.303901736468938
1,15,Male,e2,16,Amapá,North,2035,0
1,15,Male,e2,16,Amapá,North,2040,0
1,15,Male,e2,16,Amapá,North,2045,0
1,15,Male,e2,16,Amapá,North,2050,0
1,15,Male,e2,16,Amapá,North,2055,0
1,15,Male,e2,16,Amapá,North,2060,0
1,15,Male,e2,17,Tocantins,North,2010,9.363110015618528
1,15,Male,e2,17,Tocantins,North,2015,7.929344003658028
1,15,Male,e2,17,Tocantins,North,2020,3.535194103408649
1,15,Male,e2,17,Tocantins,North,2025,0.4505248985116596
1,15,Male,e2,17,Tocantins,North,2030,0.22578493401029542
1,15,Male,e2,17,Tocantins,North,2035,0
1,15,Male,e2,17,Tocantins,North,2040,0
1,15,Male,e2,17,Tocantins,North,2045,0
1,15,Male,e2,17,Tocantins,North,2050,0
1,15,Male,e2,17,Tocantins,North,2055,0
1,15,Male,e2,17,Tocantins,North,2060,0
1,15,Male,e2,21,Maranhão,Northeast,2010,13.94027196075852
1,15,Male,e2,21,Maranhão,Northeast,2015,12.24381217345504
1,15,Male,e2,21,Maranhão,Northeast,2020,5.943726242418221
1,15,Male,e2,21,Maranhão,Northeast,2025,0.8132869770055791
1,15,Male,e2,21,Maranhão,Northeast,2030,0.41051155424858965
1,15,Male,e2,21,Maranhão,Northeast,2035,0
1,15,Male,e2,21,Maranhão,Northeast,2040,0
1,15,Male,e2,21,Maranhão,Northeast,2045,0
1,15,Male,e2,21,Maranhão,Northeast,2050,0
1,15,Male,e2,21,Maranhão,Northeast,2055,0
1,15,Male,e2,21,Maranhão,Northeast,2060,0
1,15,Male,e2,22,Piauí,Northeast,2010,15.552918100692906
1,15,Male,e2,22,Piauí,Northeast,2015,13.720010521408724
1,15,Male,e2,22,Piauí,Northeast,2020,6.746108623319107
1,15,Male,e2,22,Piauí,Northeast,2025,0.9330901727931545
1,15,Male,e2,22,Piauí,Northeast,2030,0.47124239485815933
1,15,Male,e2,22,Piauí,Northeast,2035,0
1,15,Male,e2,22,Piauí,Northeast,2040,0
1,15,Male,e2,22,Piauí,Northeast,2045,0
1,15,Male,e2,22,Piauí,Northeast,2050,0
1,15,Male,e2,22,Piauí,Northeast,2055,0
1,15,Male,e2,22,Piauí,Northeast,2060,0
1,15,Male,e2,23,Ceará,Northeast,2010,10.282636463546964
1,15,Male,e2,23,Ceará,Northeast,2015,8.708443570957622
1,15,Male,e2,23,Ceará,Northeast,2020,3.8888391616423195
1,15,Male,e2,23,Ceará,Northeast,2025,0.4961057593256137
1,15,Male,e2,23,Ceará,Northeast,2030,0.24865677165537212
1,15,Male,e2,23,Ceará,Northeast,2035,0
1,15,Male,e2,23,Ceará,Northeast,2040,0
1,15,Male,e2,23,Ceará,Northeast,2045,0
1,15,Male,e2,23,Ceará,Northeast,2050,0
1,15,Male,e2,23,Ceará,Northeast,2055,0
1,15,Male,e2,23,Ceará,Northeast,2060,0
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2010,13.301743533687196
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2015,11.56395296626051
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2020,5.441848598327314
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2025,0.7254751089190908
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2030,0.36463672284323395
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2035,0
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2040,0
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2045,0
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2050,0
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2055,0
1,15,Male,e2,24,Rio Grande do Norte,Northeast,2060,0
1,15,Male,e2,25,Paraíba,Northeast,2010,15.023460574578023
1,15,Male,e2,25,Paraíba,Northeast,2015,13.333099712752775
1,15,Male,e2,25,Paraíba,Northeast,2020,6.570725181979606
1,15,Male,e2,25,Paraíba,Northeast,2025,0.9137914327778848
1,15,Male,e2,25,Paraíba,Northeast,2030,0.4609750510921989
1,15,Male,e2,25,Paraíba,Northeast,2035,0
1,15,Male,e2,25,Paraíba,Northeast,2040,0
1,15,Male,e2,25,Paraíba,Northeast,2045,0
1,15,Male,e2,25,Paraíba,Northeast,2050,0
1,15,Male,e2,25,Paraíba,Northeast,2055,0
1,15,Male,e2,25,Paraíba,Northeast,2060,0
1,15,Male,e2,26,Pernambuco,Northeast,2010,15.190597785468935
1,15,Male,e2,26,Pernambuco,Northeast,2015,13.382460818175208
1,15,Male,e2,26,Pernambuco,Northeast,2020,6.525309610484236
1,15,Male,e2,26,Pernambuco,Northeast,2025,0.8970339405903016
1,15,Male,e2,26,Pernambuco,Northeast,2030,0.45250048744338556
1,15,Male,e2,26,Pernambuco,Northeast,2035,0
1,15,Male,e2,26,Pernambuco,Northeast,2040,0
1,15,Male,e2,26,Pernambuco,Northeast,2045,0
1,15,Male,e2,26,Pernambuco,Northeast,2050,0
1,15,Male,e2,26,Pernambuco,Northeast,2055,0
1,15,Male,e2,26,Pernambuco,Northeast,2060,0
1,15,Male,e2,27,Alagoas,Northeast,2010,15.646975227413627
1,15,Male,e2,27,Alagoas,Northeast,2015,14.220832301011969
1,15,Male,e2,27,Alagoas,Northeast,2020,7.44644019997481
1,15,Male,e2,27,Alagoas,Northeast,2025,1.1005245721084569
1,15,Male,e2,27,Alagoas,Northeast,2030,0.5591379936089328
1,15,Male,e2,27,Alagoas,Northeast,2035,0
1,15,Male,e2,27,Alagoas,Northeast,2040,0
1,15,Male,e2,27,Alagoas,Northeast,2045,0
1,15,Male,e2,27,Alagoas,Northeast,2050,0
1,15,Male,e2,27,Alagoas,Northeast,2055,0
1,15,Male,e2,27,Alagoas,Northeast,2060,0
1,15,Male,e2,28,Sergipe,Northeast,2010,16.28298937098752
1,15,Male,e2,28,Sergipe,Northeast,2015,14.62041005714063
1,15,Male,e2,28,Sergipe,Northeast,2020,7.445575965274572
1,15,Male,e2,28,Sergipe,Northeast,2025,1.0678373438979492
1,15,Male,e2,28,Sergipe,Northeast,2030,0.5405895612687749
1,15,Male,e2,28,Sergipe,Northeast,2035,0
1,15,Male,e2,28,Sergipe,Northeast,2040,0
1,15,Male,e2,28,Sergipe,Northeast,2045,0
1,15,Male,e2,28,Sergipe,Northeast,2050,0
1,15,Male,e2,28,Sergipe,Northeast,2055,0
1,15,Male,e2,28,Sergipe,Northeast,2060,0
1,15,Male,e2,29,Bahia,Northeast,2010,14.874888682029171
1,15,Male,e2,29,Bahia,Northeast,2015,13.32427730559871
1,15,Male,e2,29,Bahia,Northeast,2020,6.747992625395471
1,15,Male,e2,29,Bahia,Northeast,2025,0.9624019548554099
