region,Time,sex,edu,agest,asfr
28,2035,f,e1,15,135.16563062408633
29,2035,f,e1,15,110.91381373244876
31,2035,f,e1,15,63.5061335433416
32,2035,f,e1,15,90.21588516487553
33,2035,f,e1,15,95.59162841060213
35,2035,f,e1,15,81.54223405324568
41,2035,f,e1,15,85.60107253898511
42,2035,f,e1,15,77.40656148027634
43,2035,f,e1,15,87.04410559840018
50,2035,f,e1,15,135.85335980235467
51,2035,f,e1,15,115.30773501173456
52,2035,f,e1,15,117.52478696160304
53,2035,f,e1,15,89.12632433686345
11,2040,f,e1,15,170.0619708563272
12,2040,f,e1,15,178.3614251816951
13,2040,f,e1,15,113.79672052570416
14,2040,f,e1,15,218.96094272230894
15,2040,f,e1,15,152.97342544215996
16,2040,f,e1,15,115.13978102386405
17,2040,f,e1,15,177.09492632338495
21,2040,f,e1,15,150.7487889880287
22,2040,f,e1,15,130.47065511684045
23,2040,f,e1,15,107.43229654874094
24,2040,f,e1,15,75.70668069677008
25,2040,f,e1,15,113.51260208337624
26,2040,f,e1,15,123.52720888118876
27,2040,f,e1,15,151.53910486195988
28,2040,f,e1,15,135.16563062408633
29,2040,f,e1,15,110.91381373244876
31,2040,f,e1,15,63.5061335433416
32,2040,f,e1,15,90.21588516487553
33,2040,f,e1,15,95.59162841060213
35,2040,f,e1,15,81.54223405324568
41,2040,f,e1,15,85.60107253898511
42,2040,f,e1,15,77.40656148027634
43,2040,f,e1,15,87.04410559840018
50,2040,f,e1,15,135.85335980235467
51,2040,f,e1,15,115.30773501173456
52,2040,f,e1,15,117.52478696160304
53,2040,f,e1,15,89.12632433686345
11,2045,f,e1,15,170.0619708563272
12,2045,f,e1,15,178.3614251816951
13,2045,f,e1,15,113.79672052570416
14,2045,f,e1,15,218.96094272230894
15,2045,f,e1,15,152.97342544215996
16,2045,f,e1,15,115.13978102386405
17,2045,f,e1,15,177.09492632338495
21,2045,f,e1,15,150.7487889880287
22,2045,f,e1,15,130.47065511684045
23,2045,f,e1,15,107.43229654874094
24,2045,f,e1,15,75.70668069677008
25,2045,f,e1,15,113.51260208337624
26,2045,f,e1,15,123.52720888118876
27,2045,f,e1,15,151.53910486195988
28,2045,f,e1,15,135.16563062408633
29,2045,f,e1,15,110.91381373244876
31,2045,f,e1,15,63.5061335433416
32,2045,f,e1,15,90.21588516487553
33,2045,f,e1,15,95.59162841060213
35,2045,f,e1,15,81.54223405324568
41,2045,f,e1,15,85.60107253898511
42,2045,f,e1,15,77.40656148027634
43,2045,f,e1,15,87.04410559840018
50,2045,f,e1,15,135.85335980235467
51,2045,f,e1,15,115.30773501173456
52,2045,f,e1,15,117.52478696160304
53,2045,f,e1,15,89.12632433686345
11,2050,f,e1,15,170.0619708563272
12,2050,f,e1,15,178.3614251816951
13,2050,f,e1,15,113.79672052570416
14,2050,f,e1,15,218.96094272230894
15,2050,f,e1,15,152.97342544215996
16,2050,f,e1,15,115.13978102386405
17,2050,f,e1,15,177.09492632338495
21,2050,f,e1,15,150.7487889880287
22,2050,f,e1,15,130.47065511684045
23,2050,f,e1,15,107.43229654874094
24,2050,f,e1,15,75.70668069677008
25,2050,f,e1,15,113.51260208337624
26,2050,f,e1,15,123.52720888118876
27,2050,f,e1,15,151.53910486195988
28,2050,f,e1,15,135.16563062408633
29,2050,f,e1,15,110.91381373244876
31,2050,f,e1,15,63.5061335433416
32,2050,f,e1,15,90.21588516487553
33,2050,f,e1,15,95.59162841060213
35,2050,f,e1,15,81.54223405324568
41,2050,f,e1,15,85.60107253898511
42,2050,f,e1,15,77.40656148027634
43,2050,f,e1,15,87.04410559840018
50,2050,f,e1,15,135.85335980235467
51,2050,f,e1,15,115.30773501173456
52,2050,f,e1,15,117.52478696160304
53,2050,f,e1,15,89.12632433686345
11,2055,f,e1,15,170.0619708563272
12,2055,f,e1,15,178.3614251816951
13,2055,f,e1,15,113.79672052570416
14,2055,f,e1,15,218.96094272230894
15,2055,f,e1,15,152.97342544215996
16,2055,f,e1,15,115.13978102386405
17,2055,f,e1,15,177.09492632338495
21,2055,f,e1,15,150.7487889880287
22,2055,f,e1,15,130.47065511684045
23,2055,f,e1,15,107.43229654874094
24,2055,f,e1,15,75.70668069677008
25,2055,f,e1,15,113.51260208337624
26,2055,f,e1,15,123.52720888118876
27,2055,f,e1,15,151.53910486195988
28,2055,f,e1,15,135.16563062408633
29,2055,f,e1,15,110.91381373244876
31,2055,f,e1,15,63.5061335433416
32,2055,f,e1,15,90.21588516487553
33,2055,f,e1,15,95.59162841060213
35,2055,f,e1,15,81.54223405324568
41,2055,f,e1,15,85.60107253898511
42,2055,f,e1,15,77.40656148027634
43,2055,f,e1,15,87.04410559840018
50,2055,f,e1,15,135.85335980235467
51,2055,f,e1,15,115.30773501173456
52,2055,f,e1,15,117.52478696160304
53,2055,f,e1,15,89.12632433686345
11,2010,f,e2,15,153.53008466776907
12,2010,f,e2,15,175.6793776504735
13,2010,f,e2,15,175.2143187411536
14,2010,f,e2,15,243.5995667812443
15,2010,f,e2,15,157.03376038254618
16,2010,f,e2,15,181.36951396711927
17,2010,f,e2,15,188.1638429438122
21,2010,f,e2,15,165.97267126280715
22,2010,f,e2,15,154.49735805319986
23,2010,f,e2,15,114.3076433127512
24,2010,f,e2,15,137.77794080354474
25,2010,f,e2,15,120.5937559551227
26,2010,f,e2,15,136.89213524821514
27,2010,f,e2,15,158.00321094887073
28,2010,f,e2,15,141.12027296070258
29,2010,f,e2,15,120.06877301069484
31,2010,f,e2,15,88.34196981935698
32,2010,f,e2,15,121.06175838668864
33,2010,f,e2,15,102.48045510262978
35,2010,f,e2,15,94.11089207080488
41,2010,f,e2,15,115.09899082092551
42,2010,f,e2,15,100.07089087536413
43,2010,f,e2,15,97.91982173278176
50,2010,f,e2,15,171.1615455984765
51,2010,f,e2,15,137.06515409445186
52,2010,f,e2,15,128.67801530613434
53,2010,f,e2,15,113.61661607863896
11,2015,f,e2,15,160.54860282400995
12,2015,f,e2,15,165.43141395419585
13,2015,f,e2,15,172.88846495255422
14,2015,f,e2,15,243.5995667812443
15,2015,f,e2,15,152.17704614391073
16,2015,f,e2,15,169.43730910086143
17,2015,f,e2,15,185.19283489733095
21,2015,f,e2,15,159.88990320605507
22,2015,f,e2,15,155.4008513751484
23,2015,f,e2,15,113.62316640668682
24,2015,f,e2,15,138.61805019868834
25,2015,f,e2,15,120.5937559551227
26,2015,f,e2,15,144.13936593782654
27,2015,f,e2,15,148.65893503253966
28,2015,f,e2,15,139.5074698411517
29,2015,f,e2,15,117.87239301659676
31,2015,f,e2,15,92.43729292356556
32,2015,f,e2,15,130.59995753230655
33,2015,f,e2,15,112.79295372930947
35,2015,f,e2,15,99.21328983367985
41,2015,f,e2,15,121.22852287647775
42,2015,f,e2,15,110.33457199078609
43,2015,f,e2,15,108.72915270328363
50,2015,f,e2,15,171.1615455984765
51,2015,f,e2,15,137.06515409445186
52,2015,f,e2,15,143.33753603721294
53,2015,f,e2,15,114.9377395214138
11,2020,f,e2,15,147.38888128105827
12,2020,f,e2,15,138.3475098997479
13,2020,f,e2,15,156.60748843235854
14,2020,f,e2,15,243.5995667812443
15,2020,f,e2,15,138.4163558011103
16,2020,f,e2,15,145.57289936834576
