sex,age,education,area,pop
Female,10--14,No Education,22,3386.7365774721043
Female,10--14,No Education,23,8214.063380126907
Female,10--14,No Education,24,2953.0475385288496
Female,10--14,No Education,25,3443.128559455801
Female,10--14,No Education,26,12798.586260606056
Female,10--14,No Education,27,5191.603400949352
Female,10--14,No Education,28,2732.05879378813
Female,10--14,No Education,29,26232.744154566684
Female,10--14,No Education,31,35454.13957722223
Female,10--14,No Education,32,4173.7911890314635
Female,10--14,No Education,33,16729.92471795575
Female,10--14,No Education,35,56564.56287237484
Female,10--14,No Education,41,15834.97639151421
Female,10--14,No Education,42,7220.381186964335
Female,10--14,No Education,43,10111.987336723478
Female,10--14,No Education,50,2508.765291036196
Female,10--14,No Education,51,6157.2610720109715
Female,10--14,No Education,52,8527.00067274366
Female,10--14,No Education,53,4104.013324056871
Female,10--14,Incomplete Primary,11,18143.570718609222
Female,10--14,Incomplete Primary,12,13235.538155248914
Female,10--14,Incomplete Primary,13,67361.69494725476
Female,10--14,Incomplete Primary,14,6989.027222385948
Female,10--14,Incomplete Primary,15,158956.45152956742
Female,10--14,Incomplete Primary,16,12228.452734270824
Female,10--14,Incomplete Primary,17,17028.965372300827
Female,10--14,Incomplete Primary,21,110193.61362541644
Female,10--14,Incomplete Primary,22,49419.67610582606
Female,10--14,Incomplete Primary,23,110560.51267284814
Female,10--14,Incomplete Primary,24,41812.6765981972
Female,10--14,Incomplete Primary,25,51845.491754376635
Female,10--14,Incomplete Primary,26,121430.88587762353
Female,10--14,Incomplete Primary,27,51304.7304423977
Female,10--14,Incomplete Primary,28,33464.27791858989
Female,10--14,Incomplete Primary,29,220176.58311185878
Female,10--14,Incomplete Primary,31,217800.32718996715
Female,10--14,Incomplete Primary,32,38654.567023918135
Female,10--14,Incomplete Primary,33,214061.76591081748
Female,10--14,Incomplete Primary,35,358142.261970544
Female,10--14,Incomplete Primary,41,88856.67265045666
Female,10--14,Incomplete Primary,42,45740.24872911441
Female,10--14,Incomplete Primary,43,105728.6247794072
Female,10--14,Incomplete Primary,50,23414.429329713956
Female,10--14,Incomplete Primary,51,33442.78702634295
Female,10--14,Incomplete Primary,52,61147.75025304977
Female,10--14,Incomplete Primary,53,28933.04257656865
Female,10--14,Primary,11,51497.18365212436
Female,10--14,Primary,12,25246.712406151495
Female,10--14,Primary,13,108736.74009761272
Female,10--14,Primary,14,15581.573516968208
Female,10--14,Primary,15,220515.01110861456
Female,10--14,Primary,16,24037.052658781216
Female,10--14,Primary,17,47874.12658439676
Female,10--14,Primary,21,220952.02180306363
Female,10--14,Primary,22,93788.18676626394
Female,10--14,Primary,23,274694.9738020217
Female,10--14,Primary,24,90930.91939468926
Female,10--14,Primary,25,107223.91222386537
Female,10--14,Primary,26,255092.8008482157
Female,10--14,Primary,27,103538.69764439737
Female,10--14,Primary,28,62583.80291230743
Female,10--14,Primary,29,382313.3683690122
Female,10--14,Primary,31,536698.2080714473
Female,10--14,Primary,32,98406.09886074827
Female,10--14,Primary,33,383596.002498936
Female,10--14,Primary,35,1116434.4804715947
