area,year,age_interval,edu,sex,n
11,1991,65-69,e1,0,3296.06605862
11,1991,65-69,e1,1,4075.0377105
11,1991,65-69,e2,0,1006.1085605
11,1991,65-69,e2,1,1933.17107845
11,1991,65-69,e3,0,367.93250257
11,1991,65-69,e3,1,1112.45323271
11,1991,65-69,e4,0,18.07279986
11,1991,65-69,e4,1,196.3115074
11,1991,65-69,e5,0,38.16714874
11,1991,65-69,e5,1,68.84234952
11,1991,65-69,e6,1,73.28224861
11,1991,70-74,e1,0,1983.83429071
11,1991,70-74,e1,1,2332.25879826
11,1991,70-74,e2,0,334.18889004
11,1991,70-74,e2,1,804.19362804
11,1991,70-74,e3,0,286.72736068
11,1991,70-74,e3,1,584.03829288
11,1991,70-74,e4,0,31.72835151
11,1991,70-74,e4,1,27.89998242
11,1991,70-74,e5,0,23.9842515
11,1991,70-74,e5,1,63.496515519999996
11,1991,75-79,e1,0,1405.63275474
11,1991,75-79,e1,1,1428.74267949
11,1991,75-79,e2,0,260.03297676
11,1991,75-79,e2,1,438.74305004
11,1991,75-79,e3,0,162.74678126
11,1991,75-79,e3,1,194.24933615
11,1991,75-79,e4,0,14.60331423
11,1991,75-79,e4,1,25.227391349999998
11,1991,75-79,e5,1,13.82110032
11,1991,75-79,e6,1,5.90498697
11,1991,80-84,e1,0,542.09436097
11,1991,80-84,e1,1,627.21091449
11,1991,80-84,e2,0,124.49489679
11,1991,80-84,e2,1,121.83691478
11,1991,80-84,e3,0,61.63923478
11,1991,80-84,e3,1,82.73809689000001
11,1991,80-84,e4,0,1.3595504
11,1991,80-84,e4,1,10.40168695
11,1991,80-84,e6,1,5.90498697
11,1991,85-89,e1,0,325.76546765
11,1991,85-89,e1,1,212.6394102
11,1991,85-89,e2,0,90.37324108
11,1991,85-89,e2,1,23.193163000000002
11,1991,85-89,e3,0,31.52068512
11,1991,85-89,e3,1,35.02540955
11,1991,90-94,e1,0,53.260631180000004
11,1991,90-94,e1,1,41.00095412
11,1991,90-94,e2,0,24.56085809
11,1991,90-94,e2,1,22.81339047
11,1991,90-94,e3,0,3.85340811
11,1991,90-94,e3,1,7.56407646
11,1991,95-99,e1,0,26.985574380000003
11,1991,95-99,e2,1,4.05017341
11,1991,100+,e1,0,19.366361830000002
11,1991,100+,e1,1,13.31564605
11,1991,100+,e2,0,15.44433614
11,1991,100+,e2,1,41.559299249999995
11,1991,100+,e3,0,6.09689736
11,1991,100+,e4,1,14.44827744
11,1991,100+,e5,1,9.03688076
12,1991,0-4,NA,0,30589.53460991
12,1991,0-4,NA,1,31130.50684881
12,1991,05-09,e1,0,17988.36479157
12,1991,05-09,e1,1,19910.84539222
12,1991,05-09,e2,0,12486.53424673
12,1991,05-09,e2,1,12449.50936353
12,1991,05-09,e3,0,34.61485432
12,1991,05-09,e3,1,49.55607615
12,1991,10-14,e1,0,7048.14014945
12,1991,10-14,e1,1,8418.25787008
12,1991,10-14,e2,0,15095.17036479
12,1991,10-14,e2,1,16133.22185699
12,1991,10-14,e3,0,7234.48589066
12,1991,10-14,e3,1,5456.97256039
12,1991,10-14,e4,0,172.60229289
12,1991,10-14,e4,1,96.66700618
12,1991,15-19,e1,0,5196.2866349
12,1991,15-19,e1,1,6394.1323561
12,1991,15-19,e2,0,4899.74395532
12,1991,15-19,e2,1,5641.13439794
12,1991,15-19,e3,0,9694.40484272
12,1991,15-19,e3,1,8812.73416123
12,1991,15-19,e4,0,3450.46344727
12,1991,15-19,e4,1,2295.87165429
12,1991,15-19,e5,0,405.70873934
12,1991,15-19,e5,1,296.46850196
12,1991,20-24,e1,0,4949.18335179
12,1991,20-24,e1,1,5982.0518093
12,1991,20-24,e2,0,2845.28089392
12,1991,20-24,e2,1,3412.80182543
12,1991,20-24,e3,0,5335.28376264
12,1991,20-24,e3,1,4946.15353634
12,1991,20-24,e4,0,3159.59450246
12,1991,20-24,e4,1,2981.19547488
12,1991,20-24,e5,0,2344.68376649
12,1991,20-24,e5,1,1941.81132286
12,1991,20-24,e6,0,153.60903797
12,1991,20-24,e6,1,64.16162982
12,1991,25-29,e1,0,4336.70649648
12,1991,25-29,e1,1,4847.23528925
12,1991,25-29,e2,0,2826.33572689
12,1991,25-29,e2,1,2524.26581172
12,1991,25-29,e3,0,3474.71599977
12,1991,25-29,e3,1,3339.99551745
12,1991,25-29,e4,0,2416.99405956
12,1991,25-29,e4,1,2121.77361363
12,1991,25-29,e5,0,2478.04337081
12,1991,25-29,e5,1,2290.72825119
12,1991,25-29,e6,0,382.82131494
12,1991,25-29,e6,1,305.76781059
12,1991,30-34,e1,0,4096.09131016
12,1991,30-34,e1,1,4295.55200253
12,1991,30-34,e2,0,2268.62313543
12,1991,30-34,e2,1,2177.45119773
12,1991,30-34,e3,0,2984.28619016
12,1991,30-34,e3,1,2814.1733932
12,1991,30-34,e4,0,1638.81095452
12,1991,30-34,e4,1,1395.40603673
12,1991,30-34,e5,0,1820.17321111
12,1991,30-34,e5,1,1729.51401302
12,1991,30-34,e6,0,340.474758
12,1991,30-34,e6,1,481.2049972
12,1991,35-39,e1,0,3657.77982337
12,1991,35-39,e1,1,3874.0573285
12,1991,35-39,e2,0,1952.78531114
12,1991,35-39,e2,1,1936.16912448
12,1991,35-39,e3,0,2509.23535145
12,1991,35-39,e3,1,2389.88790921
12,1991,35-39,e4,0,953.34504569
12,1991,35-39,e4,1,966.41709013
12,1991,35-39,e5,0,1354.89418093
12,1991,35-39,e5,1,1428.08829086
12,1991,35-39,e6,0,526.27031125
12,1991,35-39,e6,1,452.06463718
12,1991,40-44,e1,0,3543.95858894
12,1991,40-44,e1,1,3641.1145446
12,1991,40-44,e2,0,1520.65716428
12,1991,40-44,e2,1,1685.57330157
12,1991,40-44,e3,0,1846.99969739
12,1991,40-44,e3,1,1760.17824782
12,1991,40-44,e4,0,526.99617321
12,1991,40-44,e4,1,666.42409862
12,1991,40-44,e5,0,899.48635208
12,1991,40-44,e5,1,848.69242647
12,1991,40-44,e6,0,302.02599642
12,1991,40-44,e6,1,402.30156850000003
12,1991,45-49,e1,0,2642.40781729
12,1991,45-49,e1,1,3341.24916836
12,1991,45-49,e2,0,1403.74247552
12,1991,45-49,e2,1,1386.72275067
12,1991,45-49,e3,0,1210.28613177
12,1991,45-49,e3,1,1156.0048552
12,1991,45-49,e4,0,500.83335146
12,1991,45-49,e4,1,283.22401988
12,1991,45-49,e5,0,447.26690752
12,1991,45-49,e5,1,473.05122877
12,1991,45-49,e6,0,194.38488109
12,1991,45-49,e6,1,224.95947653
12,1991,50-54,e1,0,2463.7140839099998
12,1991,50-54,e1,1,2664.31922918
12,1991,50-54,e2,0,921.95039299
12,1991,50-54,e2,1,1030.15310065
12,1991,50-54,e3,0,916.17084345
12,1991,50-54,e3,1,935.11204336
12,1991,50-54,e4,0,239.76765328
12,1991,50-54,e4,1,266.91307647
12,1991,50-54,e5,0,319.46171211
12,1991,50-54,e5,1,182.07910215
12,1991,50-54,e6,0,117.44991679
12,1991,50-54,e6,1,138.45145195999999
12,1991,55-59,e1,0,1977.88883806
12,1991,55-59,e1,1,2431.14369445
12,1991,55-59,e2,0,705.40656307
12,1991,55-59,e2,1,792.56306811
12,1991,55-59,e3,0,671.93539192
12,1991,55-59,e3,1,609.95552696
12,1991,55-59,e4,0,152.82146752
12,1991,55-59,e4,1,156.11912097
12,1991,55-59,e5,0,227.88183648999998
12,1991,55-59,e5,1,278.43215621
12,1991,55-59,e6,0,63.60201349
12,1991,55-59,e6,1,67.54495867
12,1991,60-64,e1,0,1498.58381387
12,1991,60-64,e1,1,1878.43364169
12,1991,60-64,e2,0,637.26546236
12,1991,60-64,e2,1,766.59148825
12,1991,60-64,e3,0,357.99271209
12,1991,60-64,e3,1,608.77811402
12,1991,60-64,e4,0,88.81123245
12,1991,60-64,e4,1,155.95486047
12,1991,60-64,e5,0,47.98593339
12,1991,60-64,e5,1,60.61059403
12,1991,60-64,e6,0,34.58119977
12,1991,60-64,e6,1,12.98427354
12,1991,65-69,e1,0,1533.96678912
12,1991,65-69,e1,1,1790.30545447
12,1991,65-69,e2,0,488.56822163
12,1991,65-69,e2,1,534.62075949
12,1991,65-69,e3,0,355.46977129
12,1991,65-69,e3,1,346.2573091
12,1991,65-69,e4,0,39.45379952
12,1991,65-69,e4,1,119.24618784
12,1991,65-69,e5,0,22.7594115
12,1991,65-69,e5,1,80.31930136
12,1991,65-69,e6,1,45.14802194
12,1991,70-74,e1,0,1086.3851393100001
12,1991,70-74,e1,1,1145.95460836
12,1991,70-74,e2,0,252.84851204
12,1991,70-74,e2,1,451.63142875
12,1991,70-74,e3,0,178.70095922
12,1991,70-74,e3,1,269.27743357
