age_group,year,area,npx,sex
85,2020,Acre,0.5120674930267706,male
90,2020,Acre,0,male
0,2021,Acre,0.984366749300728,male
1,2021,Acre,0.997660901007256,male
5,2021,Acre,0.9989133984381282,male
10,2021,Acre,0.9979861105900973,male
15,2021,Acre,0.9918461964650764,male
20,2021,Acre,0.9894238312656227,male
25,2021,Acre,0.9890997076890677,male
30,2021,Acre,0.9860919080040176,male
35,2021,Acre,0.9839585336312396,male
40,2021,Acre,0.9782245732923625,male
45,2021,Acre,0.969920481155431,male
50,2021,Acre,0.9621997609882181,male
55,2021,Acre,0.9417362304752586,male
60,2021,Acre,0.9205057292366772,male
65,2021,Acre,0.8969913916400635,male
70,2021,Acre,0.8355892100808151,male
75,2021,Acre,0.7453614155911983,male
80,2021,Acre,0.6675362186339258,male
85,2021,Acre,0.5158045905436568,male
90,2021,Acre,0,male
0,2022,Acre,0.9847816192404204,male
1,2022,Acre,0.9977155639380073,male
5,2022,Acre,0.9989366075923127,male
10,2022,Acre,0.9980330689327823,male
15,2022,Acre,0.9920278755441989,male
20,2022,Acre,0.9896449086866356,male
25,2022,Acre,0.989338348438955,male
30,2022,Acre,0.9864064404666565,male
35,2022,Acre,0.9843077610068046,male
40,2022,Acre,0.9786758819184023,male
45,2022,Acre,0.9704899189083165,male
50,2022,Acre,0.9628352238653881,male
55,2022,Acre,0.9426541979956985,male
60,2022,Acre,0.9215652690207399,male
65,2022,Acre,0.8981423341444086,male
70,2022,Acre,0.8373348371727023,male
75,2022,Acre,0.7479967586355416,male
80,2022,Acre,0.6701051829301099,male
85,2022,Acre,0.5193420605054935,male
90,2022,Acre,0,male
0,2023,Acre,0.9851562409785333,male
1,2023,Acre,0.9977670268957305,male
5,2023,Acre,0.998958457097821,male
10,2023,Acre,0.9980772773622185,male
15,2023,Acre,0.9921989378543723,male
20,2023,Acre,0.9898530750683628,male
25,2023,Acre,0.9895630563015931,male
30,2023,Acre,0.9867026312290715,male
35,2023,Acre,0.9846366347509002,male
40,2023,Acre,0.979100930424818,male
45,2023,Acre,0.9710262864478771,male
50,2023,Acre,0.9634338225299417,male
55,2023,Acre,0.943519162762774,male
60,2023,Acre,0.9225637847900587,male
65,2023,Acre,0.8992271041735067,male
70,2023,Acre,0.8389812008513524,male
75,2023,Acre,0.7504849436707584,male
80,2023,Acre,0.6725308401947303,male
85,2023,Acre,0.5226873429381892,male
90,2023,Acre,0,male
0,2024,Acre,0.9854942474763246,male
1,2024,Acre,0.9978154453909552,male
5,2024,Acre,0.9989790131574878,male
10,2024,Acre,0.9981188696471478,male
15,2024,Acre,0.9923598970365809,male
20,2024,Acre,0.9900489540432449,male
25,2024,Acre,0.9897745037846394,male
30,2024,Acre,0.9869813628449794,male
35,2024,Acre,0.9849461328179631,male
40,2024,Acre,0.979500975195968,male
45,2024,Acre,0.9715311580677491,male
50,2024,Acre,0.9639973068460987,male
55,2024,Acre,0.944333609605414,male
60,2024,Acre,0.9235041183841987,male
65,2024,Acre,0.9002487689158554,male
70,2024,Acre,0.8405327661720076,male
75,2024,Acre,0.7528322590928422,male
80,2024,Acre,0.674819296438691,male
85,2024,Acre,0.525848001235462,male
90,2024,Acre,0,male
0,2025,Acre,0.9857989960532193,male
1,2025,Acre,0.9978609714253359,male
5,2025,Acre,0.998998340461747,male
10,2025,Acre,0.9981579765181365,male
15,2025,Acre,0.9925112554563638,male
20,2025,Acre,0.9902331556939957,male
25,2025,Acre,0.9899733488514323,male
30,2025,Acre,0.9872434991657199,male
35,2025,Acre,0.9852372126351514,male
40,2025,Acre,0.9798772469942183,male
45,2025,Acre,0.9720060770629073,male
50,2025,Acre,0.9645273929292375,male
55,2025,Acre,0.9450999797811159,male
60,2025,Acre,0.9243890644928794,male
65,2025,Acre,0.9012103467081084,male
70,2025,Acre,0.8419939461812161,male
75,2025,Acre,0.7550449669075674,male
80,2025,Acre,0.6769766346655333,male
